"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza"
65,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","VIRGEN DE LA VICTORIA ",52000211,"Centro público"
66,"ALEMANIA  ","BAD NENNDORF (BAJA SAJONIA)  ","Sección Española en Centros Extranjeros   ","SECCIÓN EN BAD NENNDORF ",60005485,"Centro público"
67,"ALEMANIA ","BERLIN ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000748,"Centro público"
68,"ALEMANIA ","BERLIN ","Sección Española en Centros Extranjeros ","SECCIÓN EN BERLÍN ",60000323,"Centro público"
69,"ALEMANIA ","FRANKFURT ","Escuelas Europeas ","ESCUELA EUROPEA DE FRANKFURT ",60005692,"Centro público"
70,"ALEMANIA ","HAMBURGO ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE DE HAMBURGO ",60005734,"Centro público"
71,"ALEMANIA ","HAMBURGO ","Sección Española en Centros Extranjeros ","SECCIÓN EN HAMBURGO ",60000311,"Centro público"
72,"ALEMANIA ","KARLSRUHE ","Escuelas Europeas ","ESCUELA EUROPEA DE KARLSRUHE ",60000694,"Centro público"
73,"ALEMANIA ","MANNHEIN ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN MANNHEIM ",60005758,"Centro público"
74,"ALEMANIA ","MUNICH ","Escuelas Europeas ","ESCUELA EUROPEA DE MUNICH ",60000724,"Centro público"
75,"ALEMANIA ","STUTTGART ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN STTUTGART ",60005783,"Centro público"
76,"ANDORRA ","ANDORRA LA VELLA ","Centro Público Español en el Extranjero ","ESCUELA ESPAÑOLA ",60000037,"Centro público"
77,"ANDORRA ","ENCAMP ","Centro Público Español en el Extranjero ","ESCUELA ESPAÑOLA DE EDUCACIÓN PRIMARIA DE LA VALL D'ORIENT ",60005461,"Centro público"
78,"ANDORRA ","LA MARGINEDA ","Centro Público Español en el Extranjero ","INSTITUTO ESPAÑOL DE ANDORRA ",60000025,"Centro público"
79,"ANDORRA ","LES ESCALDES ","Centro Público Español en el Extranjero ","ESCUELA ESPAÑOLA ",60000062,"Centro público"
80,"ANDORRA ","SANT JULIA DE LORIA ","Centro Público Español en el Extranjero ","ESCUELA ESPAÑOLA ",60000104,"Centro público"
81,"AUSTRALIA ","SYDNEY ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000751,"Centro público"
82,"BELGICA ","BRUSELAS ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000761,"Centro público"
83,"BELGICA ","BRUSELAS ","Escuelas Europeas ","ESCUELA EUROPEA BRUSELAS I ",60000669,"Centro público"
84,"BELGICA ","BRUSELAS ","Escuelas Europeas ","ESCUELA EUROPEA BRUSELAS II ",60000670,"Centro público"
85,"BELGICA ","BRUSELAS ","Escuelas Europeas ","ESCUELA EUROPEA BRUSELAS III ",60001081,"Centro público"
86,"BELGICA ","MOL ","Escuelas Europeas ","ESCUELA EUROPEA DE MOL /GEEL ",60000712,"Centro público"
87,"BULGARIA ","BURGAS ","Sección Bilingüe ","INSTITUTO BILINGÜE G.S.RAKOVSKI ",60001121,"Centro público"
88,"BULGARIA ","DUPNITZA ","Sección Bilingüe ","INSTITUTO BILINGÜE ""SAN PAISII HILENDARSKI"" ",60001133,"Centro público"
89,"BULGARIA ","PLEVEN ","Sección Bilingüe ","INSTITUTO DE IDIOMAS ",60005503,"Centro público"
90,"BULGARIA ","PLOVDIV ","Sección Bilingüe ","INSTITUTO BILINGÜE IVAN VAZOV ",60001145,"Centro público"
91,"BULGARIA ","RUSSE ","Sección Bilingüe ","I. B. ""SAN KONSTANTIN-KIRIL FILÓSOFO"" ",60005515,"Centro público"
92,"BULGARIA ","SILISTRA ","Sección Bilingüe ","I.B. ""PEYO YÁVOROV"" ",60001157,"Centro público"
93,"BULGARIA ","SOFIA ","Sección Bilingüe ","INSTITUTO BILINGÜE Nº 22 GUEORGUI S.RAKOVSKI ",60001170,"Centro público"
94,"BULGARIA ","SOFIA ","Sección Bilingüe ","INSTITUTO BILINGÜE MIGUEL DE CERVANTES ",60001169,"Centro público"
95,"BULGARIA ","SOFIA ","Sección Bilingüe ","INSTITUTO BILINGÜE Nº 157 ""CESAR VALLEJO"" ",60005527,"Centro público"
96,"BULGARIA ","STARA ZAGORA ","Sección Bilingüe ","INSTITUTO BILINGÜE MAXIM GORKI ",60001182,"Centro público"
97,"BULGARIA ","VARNA ","Sección Bilingüe ","INSTITUTO BILINGÜE IV F.JOLIOT CURIE ",60001194,"Centro público"
98,"BULGARIA ","VELIKO TARNOVO ","Sección Bilingüe ","INSTITUTO BILINGÜE ""PROF. DOCTOR ASEN ZLATOROV"""" ",60005849,"Centro público"
99,"COLOMBIA ","SANTA FE DE BOGOTA ","Centro Público Español en el Extranjero ","CENTRO CULTURAL Y EDUCATIVO ESPAÑOL REYES CATÓLICOS ",60000116,"Centro público"
100,"ESLOVAQUIA ","BANSKÁ BYSTICA ","Sección Bilingüe ","GYMNÁZIUM ""MIKULÁS KOVÁC"" ",60001200,"Centro público"
101,"ESLOVAQUIA ","KOSICE ","Sección Bilingüe ","GYMNÁZIUM ""PARK MLÁDEZE"" ",60001224,"Centro público"
102,"ESLOVAQUIA ","NOVÉMESTO NAD VADHOM ","Sección Bilingüe ","GYMNÁZIUM ""BILINGVÁLNE SLOVENSKO-SPANIELSKE"" ",60005539,"Centro público"
103,"ESLOVAQUIA ","TRSTENA ","Sección Bilingüe ","GYMNAZIUM ""MARTINA HATTALU"" ",60001236,"Centro público"
104,"ESLOVAQUIA ","ZILINA ","Sección Bilingüe ","GYMNÁZIUM ""BILINGVÁLNE"" ",60001251,"Centro público"
105,"ESLOVAQUIA (RPT) ","BRATISLAVA ","Sección Bilingüe ","GYMNAZIUM ""FEDERICO GARCÍA LORCA"" ",60000396,"Centro público"
106,"ESLOVAQUIA (RPT) ","NITRA ","Sección Bilingüe ","GYMNÁZIUM ""PÁROVSKÁ"" ",60000414,"Centro público"
107,"ESPAÑA ","ALICANTE ","Escuelas Europeas ","ESCUELA EUROPEA DE ALICANTE ",60001111,"Centro público"
108,"ESTADOS UNIDOS ","MIAMI ","Sección Española en Centros Extranjeros ","SECCIÓN EN MIAMI ",60000347,"Centro público"
109,"ESTADOS UNIDOS ","NEW YORK ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000773,"Centro público"
110,"ESTADOS UNIDOS ","NEW YORK ","Sección Española en Centros Extranjeros ","SECCIÓN EN NEW YORK ",60000335,"Centro público"
111,"FRANCIA ","BREST CEDEX ","Sección Española en Centros Extranjeros ","SECCIÓN EN BREST ",60005953,"Centro público"
112,"FRANCIA ","BURDEOS ","Sección Española en Centros Extranjeros ","SECCIÓN EN BURDEOS ",60000384,"Centro público"
113,"FRANCIA ","ESTRASBURGO ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN ESTRASBURGO ",60005801,"Centro público"
